base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,rain.1h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,wind.gust,weather_id,main,description,icon
stations,10000.0,1.728205031E9,7200.0,3143244.0,Oslo,200.0,10.7461,59.9127,11.19,10.51,10.52,12.61,1009.0,82.0,1009.0,984.0,2.44,212.0,NaN,72.0,2.0,2094972.0,NO,1.72819289E9,1.7282325E9,4.65,802,Clouds,scattered clouds,03d
stations,10000.0,1.728204548E9,7200.0,756135.0,Warsaw,200.0,21.0118,52.2298,10.24,9.59,9.24,11.42,1014.0,87.0,1014.0,1002.0,6.26,280.0,NaN,75.0,2.0,2032856.0,PL,1.72818994E9,1.728230523E9,0.0,803,Clouds,broken clouds,04d
stations,10000.0,1.728204736E9,3600.0,2267057.0,Lisbon,200.0,-9.1333,38.7167,20.97,21.34,19.24,21.71,1013.0,85.0,1013.0,1005.0,6.69,210.0,NaN,75.0,1.0,6901.0,PT,1.72819663E9,1.7282383E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728204663E9,10800.0,683506.0,Bucharest,200.0,26.1063,44.4323,18.86,18.81,17.83,19.01,1009.0,77.0,1009.0,999.0,3.13,240.0,NaN,20.0,2.0,2032494.0,RO,1.728188369E9,1.728229649E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728204886E9,10800.0,524901.0,Moscow,200.0,37.6156,55.7522,11.08,9.76,10.24,11.48,1020.0,58.0,1020.0,1000.0,3.27,96.0,NaN,100.0,2.0,2095214.0,RU,1.728186148E9,1.728226348E9,4.38,801,Clouds,few clouds,02d
stations,10000.0,1.728205221E9,7200.0,3168068.0,San Marino,200.0,12.4167,43.9333,15.75,15.13,15.18,16.5,1014.0,67.0,1014.0,978.0,4.63,290.0,NaN,0.0,2.0,2076801.0,SM,1.728191639E9,1.72823295E9,NaN,804,Clouds,overcast clouds,04d
stations,10000.0,1.728205162E9,7200.0,792680.0,Belgrade,200.0,20.4651,44.804,13.64,13.17,11.9,14.07,1014.0,81.0,1014.0,998.0,3.6,250.0,NaN,75.0,2.0,2037836.0,RS,1.728189739E9,1.728230987E9,NaN,800,Clear,clear sky,01d
stations,10000.0,1.728205041E9,7200.0,3060972.0,Bratislava,200.0,17.1067,48.1482,12.31,11.69,10.96,13.68,1014.0,80.0,1014.0,992.0,3.09,310.0,NaN,75.0,2.0,2044188.0,SK,1.728190684E9,1.728231653E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728205105E9,7200.0,3196359.0,Ljubljana,200.0,14.5051,46.0511,11.37,10.89,10.32,12.18,1014.0,89.0,1014.0,964.0,1.03,0.0,NaN,20.0,2.0,2003318.0,SI,1.72819122E9,1.728232366E9,NaN,803,Clouds,broken clouds,04d
stations,6000.0,1.728204852E9,7200.0,3117735.0,Madrid,200.0,-3.7026,40.4165,18.19,18.13,17.31,19.59,1012.0,79.0,1012.0,938.0,7.72,230.0,0.24,75.0,2.0,2007545.0,ES,1.728195383E9,1.728236941E9,NaN,801,Clouds,few clouds,02d
stations,10000.0,1.72820473E9,7200.0,2673730.0,Stockholm,200.0,18.0649,59.3326,12.26,11.6,11.86,12.81,1013.0,79.0,1013.0,1008.0,3.6,220.0,NaN,20.0,1.0,1788.0,SE,1.728191087E9,1.728230791E9,NaN,500,Rain,light rain,10d
stations,10000.0,1.728205122E9,7200.0,2661552.0,Bern,200.0,7.4474,46.9481,7.52,6.77,6.42,9.96,1011.0,93.0,1011.0,939.0,1.54,150.0,0.37,0.0,1.0,6937.0,CH,1.728192953E9,1.72823402E9,NaN,801,Clouds,few clouds,02d
stations,10000.0,1.72820496E9,10800.0,323786.0,Ankara,200.0,32.8543,39.9199,25.75,25.19,24.51,26.28,1012.0,31.0,1012.0,893.0,1.34,297.0,NaN,0.0,2.0,2082905.0,TR,1.728186586E9,1.728228194E9,2.24,500,Rain,light rain,10d
stations,10000.0,1.728204889E9,10800.0,703448.0,Kyiv,200.0,30.5167,50.4333,19.05,19.6,18.7,19.78,1007.0,99.0,1007.0,991.0,0.45,112.0,3.65,100.0,2.0,2003742.0,UA,1.728187567E9,1.728228335E9,1.79,800,Clear,clear sky,01d
stations,10000.0,1.728204691E9,3600.0,2643743.0,London,200.0,-0.1257,51.5085,12.95,12.47,12.14,13.68,1002.0,83.0,1002.0,998.0,5.66,100.0,NaN,100.0,2.0,2075535.0,GB,1.728194982E9,1.728235625E9,NaN,501,Rain,moderate rain,10d
stations,10000.0,1.728205223E9,7200.0,6691831.0,Vatican City,200.0,12.4533,41.9024,16.92,16.39,16.03,19.35,1014.0,66.0,1014.0,1006.0,0.89,11.0,NaN,100.0,2.0,2037613.0,VA,1.728191555E9,1.728233016E9,1.79,804,Clouds,overcast clouds,04d
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,804,Clouds,overcast clouds,04d
